requirement_id	source	phase	design	plan	tests	commits	runtime_events	metrics	status	evidence
REQ-SUBSCRIPTION-001	phase24:requirements	24	docs/phases/24-native-subscription-connectors/design.md	docs/phases/24-native-subscription-connectors/implementation-plan.md	packages/subscriptions/src/account-service.test.ts,packages/subscriptions/src/broker.test.ts,packages/application/src/subscription-connection.test.ts,packages/application/src/subscription-operations.test.ts	50ab078,82cee99,86e40c1,e841386,765a0b6	subscription.account.connected,subscription.account.shared,subscription.account.revoked	account-scope,server-edge-isolation	completed	docs/phases/24-native-subscription-connectors/review.md
REQ-SUBSCRIPTION-002	phase24:requirements	24	docs/phases/24-native-subscription-connectors/design.md	docs/phases/24-native-subscription-connectors/implementation-plan.md	packages/subscriptions/src/quota-service.test.ts,packages/subscriptions/src/policy-store.test.ts,packages/router/src/model-router.test.ts,packages/router/src/failure.test.ts,packages/runtime/src/subscription-model-factory.test.ts	651b2bb,fa87b45,57f1ba6,d1c5fe3,765a0b6	model.route.selected,model.route.failed,subscription.quota.synced	quota-window,fallback-lineage	completed	docs/phases/24-native-subscription-connectors/review.md
REQ-SUBSCRIPTION-003	phase24:requirements	24	docs/phases/24-native-subscription-connectors/design.md	docs/phases/24-native-subscription-connectors/implementation-plan.md	packages/subscriptions/src/provider-catalog.test.ts,packages/subscriptions/src/coding-plan.test.ts,packages/runtime/src/subscriptions/codex-connector.test.ts,packages/runtime/src/subscriptions/claude-connector.test.ts,apps/server/src/codex-app-server.test.ts,apps/server/src/minimax-subscription-verifier.test.ts	73e4e34,57f1ba6,765a0b6	provider.catalog.read,provider.credential.verified,subscription.connector.attested	provider-capability-contract	completed	docs/phases/24-native-subscription-connectors/review.md
REQ-SUBSCRIPTION-004	phase24:requirements	24	docs/phases/24-native-subscription-connectors/design.md	docs/phases/24-native-subscription-connectors/implementation-plan.md	scripts/uat-subscriptions.test.mjs	5f1b0822bfbdddced82c15b2f7cc44170bb6fa18,31b4e74,087e338	release-lifecycle,subscription-account-policy	pending	in-progress	docs/evidence/phase-24/subscription-uat-2026-07-14.md
REQ-SUBSCRIPTION-005	phase24:requirements	24	docs/phases/24-native-subscription-connectors/design.md	docs/phases/24-native-subscription-connectors/implementation-plan.md	apps/server/src/codex-app-server.test.ts,apps/server/src/codex-subscription-observer.test.ts,packages/subscriptions/src/codex-account.test.ts,packages/runtime/src/subscriptions/codex-connector.test.ts,packages/router/src/model-router.test.ts	765a0b6,57f1ba6	provider.account.read,provider.rate_limits.read,provider.model.list	codex-model-evidence,quota-snapshot	completed	docs/phases/24-native-subscription-connectors/review.md
REQ-SUBSCRIPTION-006	phase24:requirements	24	docs/phases/24-native-subscription-connectors/design.md	docs/phases/24-native-subscription-connectors/implementation-plan.md	apps/server/src/subscription-governance.test.ts,packages/subscriptions/src/policy-store.test.ts,packages/router/src/model-router.test.ts,packages/application/src/subscription-server-commands.test.ts	765a0b6,fa87b45	provider.policy.configured,model.route.selected	capability-scoped-approval	completed	docs/phases/24-native-subscription-connectors/review.md
REQ-SUBSCRIPTION-007	phase24:requirements	24	docs/phases/24-native-subscription-connectors/design.md	docs/phases/24-native-subscription-connectors/implementation-plan.md	packages/application/src/subscription-operations.test.ts,packages/application/src/adapters/domain.test.ts,apps/tui/src/open-tui.bun.test.ts	765a0b6,5c92e57	approval.requested,approval.resolved	redacted-preview	completed	docs/phases/24-native-subscription-connectors/review.md
REQ-SUBSCRIPTION-008	phase24:requirements	24	docs/phases/24-native-subscription-connectors/design.md	docs/phases/24-native-subscription-connectors/implementation-plan.md	apps/cli/src/subscription-login.test.ts,packages/application/src/subscription-server-commands.test.ts,packages/subscriptions/src/schema.test.ts	3692b0f	provider.login.official	provider-managed-data-controls,no-massion-disclosure-ui,legacy-record-retired	completed	docs/phases/24-native-subscription-connectors/review.md
REQ-SUBSCRIPTION-009	phase24:requirements	24	docs/phases/24-native-subscription-connectors/design.md	docs/phases/24-native-subscription-connectors/implementation-plan.md	apps/server/src/minimax-subscription-verifier.test.ts,packages/subscriptions/src/minimax-quota.test.ts,packages/application/src/subscription-server-commands.test.ts	765a0b6	provider.credential.verified,provider.quota.synced	minimax-core-route	completed	docs/phases/24-native-subscription-connectors/review.md
REQ-OPTIMIZATION-001	phase25:requirements	25	docs/phases/25-model-optimization-lab/design.md	docs/phases/25-model-optimization-lab/implementation-plan.md	packages/model-optimization/src/scoring.test.ts,packages/model-optimization/src/evaluation.test.ts,packages/model-optimization/src/transfer.test.ts	4740f1a,fd4f243,5f1b082,341d036	optimization.bundle.create,optimization.evaluation.execute,optimization.bundle.import,optimization.bundle.export	role-bundle-checksum	completed	docs/phases/25-model-optimization-lab/review.md
REQ-OPTIMIZATION-002	phase25:requirements	25	docs/phases/25-model-optimization-lab/design.md	docs/phases/25-model-optimization-lab/implementation-plan.md	packages/model-optimization/src/scoring.test.ts,packages/model-optimization/src/evaluation.test.ts	4740f1a,fd4f243,5f1b082	optimization.recommend,optimization.evaluation.execute	deterministic-policy-score	completed	docs/phases/25-model-optimization-lab/review.md
REQ-OPTIMIZATION-003	phase25:requirements	25	docs/phases/25-model-optimization-lab/design.md	docs/phases/25-model-optimization-lab/implementation-plan.md	packages/model-optimization/src/batch.test.ts,packages/model-optimization/src/evaluation.test.ts	4740f1a,fd4f243,5f4f950,c9d19a9,adba407	optimization.batch.activate,optimization.observation.record,optimization.recover	consent-budget-retention-gates	completed	docs/phases/25-model-optimization-lab/review.md
REQ-OPTIMIZATION-004	phase25:requirements	25	docs/phases/25-model-optimization-lab/design.md	docs/phases/25-model-optimization-lab/implementation-plan.md	packages/application/src/model-optimization-operations.test.ts,packages/application/src/query-registry.test.ts,apps/cli/src/commands.test.ts,packages/runtime/src/model-factory.test.ts,apps/server/src/product.test.ts,packages/extension-sdk/src/manifest.test.ts,packages/extension-host/src/lifecycle.test.ts	5c92e57,fd4f243,5f1b082,17a5829,341d036,4cac7d5	optimization.evaluation.execute,model.route.selected,modelEvaluationBundles:registered	redacted-query-projection	in-progress	docs/phases/25-model-optimization-lab/review.md
REQ-GPT56-001	phase26:requirements	26	docs/phases/26-gpt-5-6-migration/design.md	docs/phases/26-gpt-5-6-migration/implementation-plan.md	packages/runtime/src/model-factory.test.ts	0f060a0	model.route.selected	pending	completed	docs/phases/26-gpt-5-6-migration/review.md
REQ-GPT56-002	phase26:requirements	26	docs/phases/26-gpt-5-6-migration/design.md	docs/phases/26-gpt-5-6-migration/implementation-plan.md	packages/runtime/src/model-factory.test.ts	0f060a0	model.route.selected	pending	completed	docs/phases/26-gpt-5-6-migration/review.md
REQ-GPT56-003	phase26:requirements	26	docs/phases/26-gpt-5-6-migration/design.md	docs/phases/26-gpt-5-6-migration/implementation-plan.md	packages/runtime/src/model-factory.test.ts	0f060a0	model.route.selected	pending	completed	docs/phases/26-gpt-5-6-migration/review.md
REQ-REPO-001	phase27:requirements	27	docs/phases/27-clean-repository-cloud-separation/design.md	docs/phases/27-clean-repository-cloud-separation/implementation-plan.md	not-applicable	3c9697d,6777f3b	not-applicable	history-mapping	completed	docs/evidence/phase-27/clean-clone-verification-2026-07-13.md
REQ-REPO-002	phase27:requirements	27	docs/phases/27-clean-repository-cloud-separation/design.md	docs/phases/27-clean-repository-cloud-separation/implementation-plan.md	scripts/verify-security.test.mjs	6777f3b	not-applicable	legacy-marker-count	completed	docs/evidence/phase-27/clean-clone-verification-2026-07-13.md
REQ-REPO-003	phase27:requirements	27	docs/phases/27-clean-repository-cloud-separation/design.md	docs/phases/27-clean-repository-cloud-separation/implementation-plan.md	not-applicable	3c9697d	not-applicable	archive-manifest	completed	docs/evidence/phase-27/clean-clone-verification-2026-07-13.md
REQ-REPO-004	phase27:requirements	27	docs/phases/27-clean-repository-cloud-separation/design.md	docs/phases/27-clean-repository-cloud-separation/implementation-plan.md	scripts/verify-docs.test.mjs,scripts/verify-release.test.mjs	6777f3b	release-lifecycle	clean-clone	completed	docs/evidence/phase-27/clean-clone-verification-2026-07-13.md
REQ-CORE-BOUNDARY-001	phase27:requirements	27	docs/phases/27-clean-repository-cloud-separation/design.md	docs/phases/27-clean-repository-cloud-separation/implementation-plan.md	packages/application/src/contracts.test.ts,packages/application/src/product.test.ts	2cb4f65,6777f3b	application-api-v1	schema-version	completed	docs/evidence/phase-27/clean-clone-verification-2026-07-13.md
